,,,,,,,,,Starts from 01/12/2025,,,,,,
Трос туристический,旅游手杖,"


Tourist Rope

",Аксессуары для туризма,旅游配件,Outdoor Accessories,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Пигмент для татуажа,纹身颜料,"


Tattoo Pigment

",Оборудование и материалы для тату-салона,纹身沙龙设备和材料,Tattoo Salon Equipment & Materials,Аптека,药店,Pharmacy,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Настенный декор для детской,儿童房墙壁装饰,"


Children's Room Wall Decor

",Детская комната,儿童房,Kids Room,"Детская электроника, мебель, аксессуары",儿童电子产品、家具、配件,"Kids Electronics, Furniture, Accessories",All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Сетка для прицепа,拖车网,"


Trailer Net

",Перевоз багажа,行李运输,Luggage Transportation,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Набор для приготовления мармелада,果酱制作套装 ,Marmalade Making Set ,Хлеб и кондитерские изделия,面包和糖果点心,Bread & Confectionery,Продукты питания,食品,Food,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Шток телескопический для задвижек,阀门伸缩杆,"


Extension Spindle

",Водоснабжение и инженерная сантехника,供水与工程管道,Water Supply & Engineering,Сантехника,卫浴设备,Bathroom Equipment,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Атомайзер,喷雾器,Atomizer,"Инструменты для макияжа, маникюра, бани и солярия",化妆，美甲，澡堂，美黑的工具,"Make-Up, Manicure, Bath & Indoor Tanning Tools",Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Кокпит,座舱,"


Cockpit

",Устройства ручного ввода,手动输入设备,Manual Input Devices,"Игровые приставки и аксессуары, фототехника",游戏主机及配件、摄影器材,"Video Game Consoles & Accessories, Photo Equipment",All,12.00%,12.50%,12.50%,11.00%,11.50%,11.50%
"Книга, дерево пожеланий",愿望册，愿望树,"Wish Book, Tree",Сувениры и подарки,纪念品和礼品,Souvenirs and Gifts,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Заглушка для розетки от детей,插座插孔保护套,"


Baby-Proof Socket Cover

",Безопасность ребенка,儿童安全,Kid Safety,"Детская электроника, мебель, аксессуары",儿童电子产品、家具、配件,"Kids Electronics, Furniture, Accessories",All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Мультипликатор,乘法器,Multiplier,Инструменты для ремонта и строительства,建筑和装修工具,Repair and Construction Tool,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Диагностический фонарик,诊断笔灯,Diagnostic Pen Light,Медицинские приборы,医疗器械,Medical Devices,Аптека,药店,Pharmacy,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Аксессуар для мобильных ограждений,移动围栏配件,"


Mobile Fences Accessory

",Временные ограждения,临时围栏,Temporary Fencing,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Мяч для жонглирования,杂耍大球,Juggling Ball,Цирковой реквизит,马戏团道具,Circus Props,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Карабин для сумки,袋装登山扣 ,Bag Carabiner ,Материал для рукоделия,手工艺品材料,Handicraft Material,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Электростимуляторы,电刺激器,Electrostimulators,БДСМ,性虐,BDSM,Товары для взрослых,成人用品,Adult Products,All,12.00%,14.00%,21.00%,11.00%,13.00%,20.00%
Напильник,锉,File,Инструменты для ремонта и строительства,建筑和装修工具,Repair and Construction Tool,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Горные лыжи,滑雪板,Skis,Лыжи и сноуборды,滑雪板,Skis & Snowboards,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Набор для настольного тенниса,乒乓球套装,Table Tennis Kit,Ракетки,球拍,Rackets,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Набор для приготовления кваса,克瓦斯制作套装,Kvass Making Set,"Соль, сахар, специи",盐、 糖、 香料,"Salt, Sugar, Spices",Продукты питания,食品,Food,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Фильтр-влагоотделитель,脱水器过滤器,"


Moisture Filter

",Автофильтры,汽车滤清器,Car Filters,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Опора сиденья для лодки,船座支架,Boat Seat Pedestal,Лодки и лодочные моторы,船只和舷外发动机,Boats and Boat Motors,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Ножницы маникюрные,美甲剪刀,"


Nail Scissors

","Инструменты для макияжа, маникюра, бани и солярия",化妆，美甲，澡堂，美黑的工具,"Make-Up, Manicure, Bath & Indoor Tanning Tools",Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Вынос руля,车把把立,"


Handlebar Stem

",Товары для велоспорта,自行车运动用品,Cycling Products,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Держатель подушки подлокотника,扶手垫,Armrest Cushion,"Ручки, замки и фурнитура",把手、锁和铰链,"Handles, Locks and Fittings",Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Запчасть оборудования для удаления навоза,除粪设备备件,"


Manure Removal Equipment Replacement Parts

",Оборудование для удаления навоза,粪便清除设备,Manure Removal Equipment,Зоокорма и товары для фермерского хозяйства,宠物饲料与农场用品,Pet Food & Farm Products,All,12.00%,13.00%,13.00%,11.00%,12.00%,12.00%
Капсула для мячей,球盒,Ball Capsule ,Цирковой реквизит,马戏团道具,Circus Props,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Портативная паровая сауна,便携式蒸汽桑拿,"


Portable Steam Sauna

",Аппараты косметологические,美容设备,Cosmetology Devices,Косметическая техника,美容设备,Cosmetic Appliances,All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Автокресло для детей с ДЦП,脑瘫儿童汽车安全座椅,"


Car Seat for Children with Cerebral Palsy

",Товары для реабилитации,康复用品,Rehabilitation Products,Средства для реабилитации,康复设备,Rehabilitation Products,All,12.00%,14.00%,17.00%,11.00%,13.00%,16.00%
Средство для ухода за пластиком,塑料表面护理产品,"


Plastic Surfaces Care Product

",Товары для ухода за оружием,武器养护产品,Weapon Care Products,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Шпилька сантехническая,水暖双头牙螺丝,"


Plumbing Stud

",Крепеж и фурнитура,紧固件和配件,Fasteners and Accessories,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Пистолет пейнтбольный,彩弹手枪,"


Paintball Pistol

",Пейнтбол,彩弹射击,Paintball,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Искусственные соски,假乳头,Artificial Nipples,"Ортопедия, бандажи, компрессионные изделия, протезирование",矫形学、绷带、压缩制品、假肢,"Orthopedics, Bandages, Compression Products, Prosthetics",Средства для реабилитации,康复设备,Rehabilitation Products,All,12.00%,14.00%,17.00%,11.00%,13.00%,16.00%
Палитра-веер для цветотипирования,扇形配色板,"


Color Swatch Fan

",Товары для цветотипирования,配色产品,Colour Palette Analysis Products,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Кронштейн для верхнего душа,淋浴喷头支架,Shower Head Support Bracket,Смесители и душевые системы,水龙头和淋浴系统,Mixers & Shower Systems,Сантехника,卫浴设备,Bathroom Equipment,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Проводка для мототехники,摩托车线网,"


Motorcycles Wiring

",Мотозапчасти,摩托车零件,Motorcycle Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Вкладыши для груди,防溢乳垫,Breast Gel Pads,Товары личной гигиены,个人卫生用品,Personal Hygiene Products,Гигиена детская,儿童卫生用品,Kids Hygiene,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Вакуумный насос для доильных аппаратов,挤奶设备真空泵,"


Vacuum Pump for Milking Machines

",Вакуумное оборудование для с/х животных,真空畜牧业设备,Livestock Vacuum Equipment,Зоокорма и товары для фермерского хозяйства,宠物饲料与农场用品,Pet Food & Farm Products,All,12.00%,13.00%,13.00%,11.00%,12.00%,12.00%
Передавливатель для труб,管道抑制器,"


Pipe Press

",Станок,机床,Machine Tool,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Насадка для полировки,抛光头,"


Polishing Attachment

",Расходники для инструмента,工具耗材,Tool Consumables,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Набор для рисования песком,沙画套装,Sand Art Kit,"Набор для рукоделия, творчества",手工制作套件,Handicraft Kit,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Набор для декупажа,剪纸画套装,Decoupage Kit,"Набор для рукоделия, творчества",手工制作套件,Handicraft Kit,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Нагреватель для полотенец,毛巾加热器,Towel Warmer,Климатическая техника,空调设备,Climatic Equipment,Аксессуары для электроники,电子产品配饰,Electronics Accessories,All,12.00%,20.00%,20.00%,11.00%,19.00%,19.00%
Ватные палочки для животных,宠物棉签,Pet Cotton Buds,Товар для ухода за животными,宠物护理用品,Pet Care Products,Гигиена и уход для животных,宠物卫生与护理,Pet Hygiene & Care,All,12.00%,13.00%,13.00%,11.00%,12.00%,12.00%
Тариф с модемом/роутером,带调制解调器/路由器的套餐,Modem/Router Tariff,SIM-карты,SIM卡,SIM Cards,Аксессуары для электроники,电子产品配饰,Electronics Accessories,All,12.00%,20.00%,20.00%,11.00%,19.00%,19.00%
Гибкий камень + монтажный комплект,柔性石材 + 安装套装,"


Flexible Stone + Mounting Kit

",Плитка и керамогранит,瓷砖和瓷片,Tile and Porcelain Stoneware,Отделочные материалы,装饰材料,Finishing Materials,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Тропический душ,淋雨花洒头,"


Rain Shower

",Смесители и душевые системы,水龙头和淋浴系统,Mixers & Shower Systems,Сантехника,卫浴设备,Bathroom Equipment,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Балка светодиодная на автомобиль,汽车LED长条射灯,"


Car LED Light Bar

",Запчасти для легковых автомобилей,乘用车配件,Car Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Разбавитель автоэмали,汽车搪瓷稀释剂,"


Car Enamel Diluent

",Автохимия и автокосметика,汽车化工产品和汽车护理产品,Car Chemical Products & Car Care Products,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Розеточно-клавишный блок,带开关插座,"


Switch & Socket

",Электроустановочные изделия,电气安装产品,Electrical Installation Products,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Лента для устранения протечек,漏水管道胶带,Leak Plumbing Tape,Арматура и аксессуары для сантехники,水暖器材和配件,Plumbing Fittings and Accessories,Сантехника,卫浴设备,Bathroom Equipment,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Костюм для массажа,按摩服,"


Massage Bodysuit

",Массаж,按摩,Massage,Косметическая техника,美容设备,Cosmetic Appliances,All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Брашпен,软毛色素笔,"


Brush Pen

",Письменные принадлежности,书写用具,Writing Tools,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Принтер для чеков,收据打印机,"


Receipt Printer

","Принтеры, сканеры и МФУ",打印机、扫描仪及多功能一体机,"Printers, Scanners, and MFPs","Компьютерная офисная техника, кассовое и складское оборудование",办公电脑设备、收银及仓储设备,"Office Computer Equipment, Cash Register & Warehouse Equipment",All,12.00%,16.00%,16.00%,11.00%,15.00%,15.00%
Экшн-камера для животных,动物运动相机,"


Pet Action Camera

",Видеокамеры,摄像机,Video Cameras,Товары для животных,宠物用品,Pet Products,All,12.00%,14.00%,15.00%,11.00%,13.00%,14.00%
Калибр промышленный,工业仪表,"


Industrial Gauge

",Промышленное оборудование и комплектующие,工业设备和组件,Industrial Equipment and Components,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Регулятор расхода воды,水流量调节器,"


Water Flow Control

",Арматура и аксессуары для сантехники,水暖器材和配件,Plumbing Fittings and Accessories,Сантехника,卫浴设备,Bathroom Equipment,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Карниз для штор,窗帘杆,Curtain Rod,Шторы и карнизы,窗帘和窗帘杆,Curtains & Curtain Rods,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Средство после укусов насекомых,昆虫叮咬药物,"


Insect Bites Remedy

",Средства от вредителей,害虫驱虫产品,Pest Repellent,Бытовая химия,日化,Household Chemicals,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Подвес для инвалидных подъемников,轮椅升降机悬架,"


Wheelchair Hoist

",Комплектующие для техники для инвалидов,残障人士设备部件,Components for Equipment for Disabled People,Средства для реабилитации,康复设备,Rehabilitation Products,All,12.00%,14.00%,17.00%,11.00%,13.00%,16.00%
Мелок разметочный,标记粉笔,Crayon Wax Marker,Инструменты для ремонта и строительства,建筑和装修工具,Repair and Construction Tool,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Стикини,胸贴,"


Tanning Nipple Stickers

","Инструменты для макияжа, маникюра, бани и солярия",化妆，美甲，澡堂，美黑的工具,"Make-Up, Manicure, Bath & Indoor Tanning Tools",Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Измерительный преобразователь давления,压力变送器,Pressure Transmitter,Измерительный инструмент,测量工具,Measuring Instrument,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Почтовый ящик,邮箱,"


Mailbox

",Крепеж и фурнитура,紧固件和配件,Fasteners and Accessories,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Ростер для курицы,烤鸡机,"


Chicken Roasting Pan

",Посуда для приготовления,炊具,Cookware,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Модель гитары,吉他模型,Guitar Model,Коллекционирование,收藏品,Collectibles,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Активатор для слаймов,史莱姆活化剂,Slime Activator,Детское творчество и развитие,儿童创意活动与发展,Kids Creative Activities & Development,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Медикатор,加药器,Medicator,Системы кормления и поения для с/х животных и птиц,牲畜和家禽喂养饮水系统,Livestock & Poultry Feeding and Watering Systems,Зоокорма и товары для фермерского хозяйства,宠物饲料与农场用品,Pet Food & Farm Products,All,12.00%,13.00%,13.00%,11.00%,12.00%,12.00%
Аквадистиллятор,水蒸馏器,"


Household Water Distiller

",Электрические чайники и термопоты,电热水壶和热水器,Electric Kettles and Thermopots,Электронная техника для дома,家用电器,Household Electronic Appliances,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Комплект заземления,接地套件,"


Grounding Kit

",Электрика,电气,Electrics,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Подложка под обои,壁纸背衬,"


Wallpaper Base Sheet

",Обои и покрытия,壁纸和涂料,Wallpaper & Wall Coatings,Отделочные материалы,装饰材料,Finishing Materials,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Краски Холи,洒红节颜料,Holi Powder,Товары для праздников,节庆商品,Party Supplies,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Держатель плашек,螺纹模具手柄,Thread Dies Handle,Инструменты для ремонта и строительства,建筑和装修工具,Repair and Construction Tool,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Массажное кресло,按摩椅,Massage Chair,Массаж,按摩,Massage,Косметическая техника,美容设备,Cosmetic Appliances,All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Бачок для мототехники,摩托车小油箱,"


Motorcycle Tank

",Мотозапчасти,摩托车零件,Motorcycle Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Девилстик,恶魔棍,Devil Stick,Цирковой реквизит,马戏团道具,Circus Props,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Полотенце для йоги,瑜伽毛巾,"


Yoga Towel

",Фитнес и йога,健身与瑜伽,Fitness & Yoga,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Перчатки для боулинга,保龄球手套,Bowling Gloves,Боулинг,保龄球,Bowling,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Щетки для электродвигателя,电动机电刷,"


Electric Motor Brush

",Аксессуары и запчасти для бытовой техники,家用电器配件和备件,Home Appliance Replacement Parts and Accessories,Аксессуары для электроники,电子产品配饰,Electronics Accessories,All,12.00%,20.00%,20.00%,11.00%,19.00%,19.00%
Рюмка,酒杯,"


Mini Wine Shot Glass

",Питьевая посуда и аксессуары,饮具及附属用品,Drinking Utensils & Accessories,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Заклепки,铆钉,Rivets,Материал для рукоделия,手工艺品材料,Handicraft Material,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Новогодний подарок кондитерский,新年糖果礼物,"


New Year's Candy Box

",Хлеб и кондитерские изделия,面包和糖果点心,Bread & Confectionery,Продукты питания,食品,Food,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Вставка в куртку для беременных,孕妇夹克插入件,"


Maternity Jacket Extender

",Одежда,服装,Clothing,Верхняя одежда,外衣,Outerwear,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Термошапка,导热帽,"


Thermal Heat Cap

",Мебель и оборудование для салонов красоты,美容院家具和设备,Beauty Salons Furniture and Equipment,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Гранола,格兰诺拉麦片,Granola,"Сухие завтраки, снэки, суперфудс",谷物片，零食，超级食物,"Breakfast Cereals, Snacks, Superfoods",Продукты питания,食品,Food,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Фартук парикмахерский,美发围裙,"


Hairdressing Apron

",Мебель и оборудование для салонов красоты,美容院家具和设备,Beauty Salons Furniture and Equipment,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Веер для раздувания огня,烧烤扇,Barbeque Hand Fan,Товары для пикника,野餐用品,Picnic Supplies,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Средство для очистки рук,洗手液,"


Hand Cleaner

",Автохимия и автокосметика,汽车化工产品和汽车护理产品,Car Chemical Products & Car Care Products,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Свитшот спортивный,运动汗衫,"


Sports Sweatshirt

",Спортивная одежда,运动服,Sports Clothing,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Компрессорно-конденсаторный блок,压缩冷凝机组,"


Condensing Unit

",Вентиляция,通风系统,Ventilation System,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Ручной разбрасыватель штукатурных смесей,石膏混合物手动撒布机,"


Manual Plaster Spreader 

",Инструменты для ремонта и строительства,建筑和装修工具,Repair and Construction Tool,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Тренажер-кроссовер,交叉训练机,"


Cable Crossover Exercise Machine

",Тренажеры,健身器材/训练器,Exercise Machines & Trainers,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Ласты,脚蹼,"


Swim Fins

",Спортивная и рабочая обувь,运动鞋和工作鞋,Sports and Work Footwear,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Расширитель грифа,杠铃握把,"


Bar Grip Extender

",Аксессуары и инвентарь для тяжелой атлетики,举重配件和器材,Weightlifting Accessories and Equipment,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Защита для мототехники,摩托车保护,"


Motorcycles Frame Guards

",Мотозапчасти,摩托车零件,Motorcycle Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Камуфляжная лента,迷彩胶带,Camouflage Tape,Охота и стрельба,狩猎和射击,Hunting and Shooting,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Акваперчатки,游泳手套,Aqua Gloves,Спортивный инвентарь,运动器材,Sports Equipment,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Ластик,橡皮擦,Eraser,Канцелярия,文具,Stationery,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Армейская плащ-палатка,军用帐篷斗篷,"


Military Poncho Shelter

","Палатки, тенты, шатры и спальные мешки",帐篷、遮阳篷、帐篷和睡袋,"Tents, Canopies, Marquees and Sleeping Bags",Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Весло для SUP-доски,SUP板桨 ,SUP-Board Paddle ,Водный спорт и отдых на воде,水上运动和娱乐,Water Sports and Recreation,"Батуты, бассейны и Sup-доски",蹦床、游泳池和立式桨板,"Trampolines, Pools, and SUP Boards",All,12.00%,16.00%,16.00%,11.00%,15.00%,15.00%
Оптика линзованная,透镜光学元件,"


Optical Lenses

",Запчасти для легковых автомобилей,乘用车配件,Car Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Подставка для шампуров,烤串架,"


Skewer Stand

",Товары для пикника,野餐用品,Picnic Supplies,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Дождевик для инвалидной коляски,轮椅防雨罩,Wheelchair Rain Cover,Аксессуары для товаров для реабилитации,康复产品配件,Rehabilitation Products Accessories,Средства для реабилитации,康复设备,Rehabilitation Products,All,12.00%,14.00%,17.00%,11.00%,13.00%,16.00%
Термоманометр,温度压力计,"


Thermomanometer

",Измерительный инструмент,测量工具,Measuring Instrument,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Ножи одноразовые,一次性刀具,Disposable Knives,Одноразовая посуда,一次性餐具,Disposable Tableware,Бытовая химия,日化,Household Chemicals,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Скайсы для зубов,牙钻,"


Skyce Tooth Jewelry 

",Материалы и средства стоматологические,牙科材料和工具,Dental Products & Materials,Профессиональный уход за полостью рта,专业口腔护理,Professional Oral Care,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Туалетная бумага,卫生纸,"


Toilet Paper

",Товары личной гигиены,个人卫生用品,Personal Hygiene Products,Личная гигиена,个人卫生用品,Personal Hygiene,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Подвесной стол,吊桌,"


Hanging Table

",Столы,桌类,Tables,Мебель,家具,Furniture,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Костыли для детей с ДЦП,脑瘫儿童拐杖 ,Cerebral Palsy Kids Crutches ,Товары для реабилитации,康复用品,Rehabilitation Products,Средства для реабилитации,康复设备,Rehabilitation Products,All,12.00%,14.00%,17.00%,11.00%,13.00%,16.00%
Светофор,交通信号灯,"


Traffic Light

",Оборудование для парковки,停车场设施,Parking Equipment,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Шкив для тренажера,教练皮带轮,"


Pulley

",Тренажеры,健身器材/训练器,Exercise Machines & Trainers,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Студийное оборудование,演播室设备,"


Studio Equipment

",Оборудование для фотостудии,摄影工作室设备,Photo Studio Equipment,Аксессуары для электроники,电子产品配饰,Electronics Accessories,All,12.00%,20.00%,20.00%,11.00%,19.00%,19.00%
Кератин,角朊,Keratin,Косметика для ухода за волосами,护发产品,Hair Care Products,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Перчатки хоккейные,曲棍球手套,"


Hockey Gloves

",Экипировка и защита,装备与护具,Equipment & Protection,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Аксессуар для инъектирования,注塑配件,"


Injection Accessory

",Строительные смеси,建筑混合料,Construction Mixes,Тяжелая стройка,重型建筑,Heavy Construction,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
